Action, Reward , Loss, Remaining length, Punto objetivo
############# EPISODIO 0#################
Punto alcanzado 
4, 1.7190195904848375, 22.618057250976562, 14.493173410227934,[-16.  11. -21.],[-8.030574798583984, 3.0776541233062744, -11.802138328552246]
7, 1.715669759070007, 22.65765380859375, 14.521568839420155,[-16.  11. -21.],[-8.865439414978027, 3.081972122192383, -11.547154426574707]
1, 1.7487198971751698, 22.74534034729004, 14.246171754198173,[-16.  11. -21.],[-9.689065933227539, 3.0837907791137695, -10.715938568115234]
4, 1.7263901319663246, 23.22252655029297, 14.431083700082025,[-16.  11. -21.],[-10.514508247375488, 3.084045648574829, -11.183359146118164]
1, 1.8113226885535072, 22.229848861694336, 13.752068597707783,[-16.  11. -21.],[-11.337458610534668, 3.0837626457214355, -11.664651870727539]
4, 1.9014451854189602, 22.813701629638672, 13.097894134266907,[-16.  11. -21.],[-12.153688430786133, 3.083225727081299, -12.64649486541748]
1, 2.051756678933896, 22.472148895263672, 12.134680696636083,[-16.  11. -21.],[-12.963140487670898, 3.082547664642334, -13.00350284576416]
4, 2.13573364393856, 22.342063903808594, 11.655579518753505,[-16.  11. -21.],[-13.774361610412598, 3.081874370574951, -13.901969909667969]
1, 2.2905806798510486, 22.579769134521484, 10.864263016321999,[-16.  11. -21.],[-14.591416358947754, 3.0811169147491455, -14.207322120666504]
7, 2.3634540264495256, 23.988178253173828, 10.527739071809231,[-16.  11. -21.],[-15.414361000061035, 3.0804150104522705, -15.094398498535156]
4, 2.513469714028162, 24.048362731933594, 9.89640988131671,[-16.  11. -21.],[-16.218032836914062, 3.0796477794647217, -14.83524227142334]
4, 2.4779189449465786, 22.46825408935547, 10.039111288722552,[-16.  11. -21.],[-17.019319534301758, 3.078914165496826, -14.65807819366455]
1, 2.4394609272398333, 22.282350540161133, 10.198165781563324,[-16.  11. -21.],[-17.81827163696289, 3.0782558917999268, -14.97407054901123]
1, 2.458717324481226, 23.96624755859375, 10.1179033010738,[-16.  11. -21.],[-18.610794067382812, 3.0776445865631104, -16.204116821289062]
1, 2.584814523293903, 24.452152252197266, 9.621873851955066,[-16.  11. -21.],[-19.405080795288086, 3.077000379562378, -17.406808853149414]
7, 2.661740409488803, 23.17021369934082, 9.342350926062448,[-16.  11. -21.],[-20.19696617126465, 3.0762925148010254, -18.26588249206543]
7, 2.6527534943928854, 22.68718719482422, 9.374170037978425,[-16.  11. -21.],[-20.98632049560547, 3.075467586517334, -17.61227798461914]
7, 2.498296136964252, 24.874469757080078, 9.956820100349747,[-16.  11. -21.],[-21.777353286743164, 3.0746371746063232, -16.21144676208496]
1, 2.2801512872975898, 25.7404842376709, 10.914184762332031,[-16.  11. -21.],[-22.566110610961914, 3.0739216804504395, -15.355993270874023]
1, 2.120718863755503, 22.308502197265625, 11.738455521977308,[-16.  11. -21.],[-23.34868621826172, 3.0733420848846436, -16.365808486938477]
1, 2.116749342368403, 24.43299102783203, 11.760562308727508,[-16.  11. -21.],[-24.12901496887207, 3.0727357864379883, -17.648883819580078]
4, 2.102855343938319, 22.343544006347656, 11.838597126789953,[-16.  11. -21.],[-24.902982711791992, 3.0720620155334473, -18.548067092895508]
4, 2.0457001254613107, 22.81916046142578, 12.170754982044317,[-16.  11. -21.],[-25.67860221862793, 3.071298360824585, -18.43844985961914]
4, 1.9499095359717615, 24.202251434326172, 12.771107614892985,[-16.  11. -21.],[-26.447988510131836, 3.070594310760498, -18.352445602416992]
4, 1.8613949031379047, 24.33456039428711, 13.380787823613069,[-16.  11. -21.],[-27.215166091918945, 3.0699076652526855, -18.305959701538086]
1, 1.7797025200623071, 24.165096282958984, 13.997291453587845,[-16.  11. -21.],[-27.97623634338379, 3.069300651550293, -18.690204620361328]
7, 1.712494503316235, 22.82196807861328, 14.548587003688278,[-16.  11. -21.],[-28.74309730529785, 3.068706750869751, -19.643808364868164]
1, 1.6533437494583372, 22.677898406982422, 15.070872479295616,[-16.  11. -21.],[-29.50374984741211, 3.068065643310547, -19.780397415161133]
1, 1.586454059792439, 22.297468185424805, 15.70841408434533,[-16.  11. -21.],[-30.258394241333008, 3.067512035369873, -20.891860961914062]
